isocode3,country,vaccineage1_2011_pct_GDL,vaccineage1_2015_pct_GDL,vaccineage1_2005_pct_GDL,vaccineage1_2009_pct_GDL,vaccineage1_2017_pct_GDL,vaccineage1_2002_pct_GDL,vaccineage1_2013_pct_GDL,vaccineage1_2019_pct_GDL,vaccineage1_2000_pct_GDL,vaccineage1_2016_pct_GDL,vaccineage1_2010_pct_GDL,vaccineage1_2006_pct_GDL,vaccineage1_2023_pct_GDL,vaccineage1_1996_pct_GDL,vaccineage1_2004_pct_GDL,vaccineage1_2014_pct_GDL,vaccineage1_2022_pct_GDL,vaccineage1_2012_pct_GDL,vaccineage1_2001_pct_GDL,vaccineage1_2018_pct_GDL,vaccineage1_2021_pct_GDL,vaccineage1_1998_pct_GDL,vaccineage1_2003_pct_GDL,vaccineage1_2008_pct_GDL,vaccineage1_1994_pct_GDL,vaccineage1_1997_pct_GDL,vaccineage1_1995_pct_GDL,vaccineage1_2007_pct_GDL,vaccineage1_1999_pct_GDL,vaccineage1_2020_pct_GDL,vaccineage1_1992_pct_GDL,vaccineage1_1993_pct_GDL,vaccineage1_2024_pct_GDL,vaccineage1_1991_pct_GDL
CMR,Cameroon,78.61999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.5,NA,NA,NA,NA,77.52000000000001,NA,63.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAF,Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.879999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHL,Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,Colombia,NA,NA,91.17999999999999,NA,NA,NA,NA,NA,76.61999999999999,NA,92.53999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.03999999999999,NA,NA,NA,NA,NA,NA,NA
COD,"Congo, Dem. Rep.",NA,NA,NA,NA,NA,NA,74.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.2,NA,NA,NA,NA,NA,NA
COG,"Congo, Rep.",73.6,NA,78.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRI,Costa Rica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLV,El Salvador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNQ,Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWZ,Eswatini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FJI,Fiji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAB,Gabon,NA,NA,NA,NA,NA,NA,NA,NA,59.92,NA,NA,NA,NA,NA,NA,NA,NA,50.86,NA,NA,76.20000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GEO,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTM,Guatemala,NA,87.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.32000000000001,NA,83.86000000000001,NA,NA,NA,NA,NA
GUY,Guyana,NA,NA,NA,86.66000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HND,Honduras,96.02000000000001,NA,95.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,India,NA,NA,NA,NA,NA,NA,NA,87.94,NA,85.66000000000001,NA,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.620000000000005,NA,56.7,NA,NA,NA
IDN,Indonesia,NA,NA,NA,NA,84.25999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.3,NA,NA,NA,NA,73.62,NA,NA,76.14000000000001,NA,78.26000000000002,NA,NA,NA,NA,NA,NA
IRN,"Iran, Islamic Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KAZ,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.72,NA,87.3,NA,NA,NA,NA,NA
KEN,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.52000000000001,93.12,NA,NA,NA,NA,88.22,81.34,90.35,NA,NA,NA,NA,NA,NA,NA,91.25999999999999,NA,NA
KGZ,Kyrgyz Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.2,NA,NA,NA,NA,NA,NA,NA,94.36,NA,NA,NA,NA,NA,NA,NA,NA
LAO,Lao PDR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSO,Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.64000000000001,NA,NA,NA,90.28000000000002,93.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.55999999999999,NA
MDG,Madagascar,NA,NA,NA,78.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.42,NA,NA,NA,NA,NA,72.75999999999999,NA,NA,NA,NA,58.46,NA,NA,NA,NA,65.82000000000001,NA,NA,NA
MWI,Malawi,NA,NA,NA,NA,NA,NA,NA,NA,89.75999999999999,95.3,95.42,NA,NA,NA,87.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.6,NA,NA,NA
MEX,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,Moldova,NA,NA,89.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNG,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNE,Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.74,NA,NA,NA,NA,NA,NA,NA,86.38000000000001,NA,NA,NA
MOZ,Mozambique,85.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.75999999999999,NA,NA,NA,NA,NA,81.28,NA,NA,67.68,NA,NA,NA,NA,NA,NA,NA,NA
MMR,Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.46000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAM,Namibia,NA,NA,NA,NA,NA,NA,90.94000000000001,NA,86.75999999999999,NA,NA,90.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.34,NA,NA,NA
NPL,Nepal,93.47999999999999,NA,NA,NA,NA,NA,NA,NA,NA,93.08,NA,90.08,NA,NA,NA,NA,92.32000000000001,NA,78.05999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIC,Nicaragua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.06,NA,NA,90.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NGA,Nigeria,NA,NA,NA,NA,NA,NA,45.720000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.879999999999995,NA,NA,36.480000000000004,45.1,NA,NA,NA,NA,42.019999999999996,NA,NA,NA,NA,NA
MKD,North Macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAK,Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.92,NA,81.26,NA,NA,NA,NA,NA,NA,NA,69.78,NA,NA,NA,NA,NA,59.28000000000001
PNG,Papua New Guinea,NA,NA,NA,NA,57.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRY,Paraguay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PER,Peru,87.26000000000002,NA,NA,83.28,NA,NA,NA,NA,88.74000000000001,NA,83.82000000000001,89.02000000000001,NA,88.74,90.26,NA,NA,88.11999999999998,NA,NA,NA,NA,NA,85.87999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHL,Philippines,NA,NA,NA,NA,84.6,NA,90.47999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.46000000000001,NA,NA,NA,NA,85.62,85.32000000000001,89.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RWA,Rwanda,NA,87.84,92.42,NA,NA,NA,NA,NA,92.17999999999999,NA,97.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.98,94.12,NA,NA,NA
SRB,Serbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOM,Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAF,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.96000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSD,South Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUR,Suriname,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYR,Syrian Arab Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TZA,Tanzania,NA,92.36000000000001,NA,NA,NA,NA,NA,NA,NA,NA,91.36000000000001,NA,NA,90,56.980000000000004,NA,91.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.4,NA,88.56,NA,NA,NA
THA,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TLS,Timor-Leste,NA,NA,NA,71.5,NA,NA,NA,NA,NA,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUN,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUR,Turkiye,NA,NA,NA,NA,NA,NA,92.80000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.92,NA,81.24,83.96,92.97999999999999,NA,NA,NA,NA,NA,NA,NA,86.58,NA,NA
UGA,Uganda,83.98,NA,NA,NA,NA,NA,NA,NA,NA,88.22,NA,46.44,NA,NA,NA,NA,NA,NA,64.91999999999999,NA,NA,NA,NA,NA,NA,NA,71.96,NA,NA,NA,NA,NA,NA,NA
UKR,Ukraine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VEN,"Venezuela, RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VNM,Viet Nam,NA,NA,NA,NA,NA,84.53999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.67999999999999,NA,NA,NA,NA,NA,NA,NA,NA
ZMB,Zambia,NA,NA,NA,NA,NA,88.61999999999999,NA,NA,NA,NA,NA,NA,NA,91.87999999999998,NA,91,NA,NA,NA,95.08,NA,NA,NA,NA,NA,NA,NA,88.6,NA,NA,NA,NA,NA,NA
ZWE,Zimbabwe,81.36000000000001,86.64000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.53999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.61999999999999,NA,NA,NA,84.4,NA,NA,NA,NA,NA
