Indicator,Year,Country ISO 3 code,Country,Global,WHO region,SDG region,World bank income group,Datasource short,Datasource long,Comments,Value Numeric,Value String
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Caribbean,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,54,54
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Africa,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,70,70
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Central Asia,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,81,81
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Eastern Africa,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,67,67
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Europe,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,87,87
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Landlocked developing countries (LLDCs),,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,75,75
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Eastern Asia,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,84,84
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Northern Africa,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,57,57
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Northern Europe,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,92,92
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Small Island developing States (SIDS),,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,60,60
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,South America,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,90,90
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,South-eastern Asia,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,74,74
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Southern Africa,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,86,86
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Southern Asia,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,71,71
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Southern Europe,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,80,80
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Western Africa,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,75,75
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Western Asia,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,73,73
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Western Europe,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,94,94
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Global,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,76,76
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Eastern Europe,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,84,84
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Least developed countries (LDC),,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,71,71
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,,,Middle Africa,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,59,59
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,,,Global,Global,Global,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th and 12th Inquiry among Governments on Population and Development.",,76,76
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,AFG,Afghanistan,,Eastern Mediterranean,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,56,56
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,ALB,Albania,,Europe,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,79,79
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,AGO,Angola,,Africa,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,62,62
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,ATG,Antigua and Barbuda,,Americas,,High income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,ARG,Argentina,,Americas,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,92,92
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,ARM,Armenia,,Europe,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,87,87
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,AUS,Australia,,Western Pacific,,High income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,AUT,Austria,,Europe,,High income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,BHR,Bahrain,,Eastern Mediterranean,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,73,73
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,BGD,Bangladesh,,South-East Asia,,Lower middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,BRB,Barbados,,Americas,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,44,44
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,BLR,Belarus,,Europe,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,83,83
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,BEL,Belgium,,Europe,,High income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,BLZ,Belize,,Americas,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,43,43
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,BEN,Benin,,Africa,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,91,91
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,BTN,Bhutan,,South-East Asia,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,83,83
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,BOL,Bolivia (Plurinational State of),,Americas,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,94,94
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,BIH,Bosnia and Herzegovina,,Europe,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,70,70
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,BWA,Botswana,,Africa,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,64,64
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,BRA,Brazil,,Americas,,Upper middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,BRN,Brunei Darussalam,,Western Pacific,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,41,41
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,BGR,Bulgaria,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,62,62
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,BFA,Burkina Faso,,Africa,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,81,81
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,BDI,Burundi,,Africa,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,65,65
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,CPV,Cabo Verde,,Africa,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,84,84
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,KHM,Cambodia,,Western Pacific,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,98,98
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,CMR,Cameroon,,Africa,,Lower middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,CAN,Canada,,Americas,,High income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,CAF,Central African Republic,,Africa,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,77,77
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,TCD,Chad,,Africa,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,59,59
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,CHL,Chile,,Americas,,High income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,CHN,China,,Western Pacific,,Upper middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,COL,Colombia,,Americas,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,96,96
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,COM,Comoros,,Africa,,Lower middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,COG,Congo,,Africa,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,55,55
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,CRI,Costa Rica,,Americas,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,84,84
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,CIV,Côte d’Ivoire,,Africa,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,64,64
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,HRV,Croatia,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,98,98
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,CUB,Cuba,,Americas,,Upper middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,CYP,Cyprus,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,72,72
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,CZE,Czechia,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,79,79
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,PRK,Democratic People's Republic of Korea,,South-East Asia,,Low income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,83,83
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,COD,Democratic Republic of the Congo,,Africa,,Low income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,DNK,Denmark,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,87,87
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,ECU,Ecuador,,Americas,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,92,92
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,EGY,Egypt,,Eastern Mediterranean,,Lower middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,SLV,El Salvador,,Americas,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,92,92
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,GNQ,Equatorial Guinea,,Africa,,Upper middle income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,EST,Estonia,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,98,98
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,SWZ,Eswatini,,Africa,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,98,98
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,ETH,Ethiopia,,Africa,,,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,73,73
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,FIN,Finland,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,98,98
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2019,GAB,Gabon,,Africa,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 12th Inquiry among Governments on Population and Development.",,58,58
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,GMB,Gambia,,Africa,,Low income,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.","United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",Data not provided or data not available.,,NaN
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,GEO,Georgia,,Europe,,Upper middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,94,94
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,DEU,Germany,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,87,87
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,GHA,Ghana,,Africa,,Lower middle income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,66,66
"Extent to which countries have laws and regulations that guarantee women aged 15-49 access to sexual and reproductive health care, information and education (SDG 5.6.2)",2022,GRC,Greece,,Europe,,High income,UNFPA,"United Nations Population Fund, global databases, 2022. Based on official responses to the United Nations 13th Inquiry among Governments on Population and Development.",,72,72
